ind	dD	dP	dM	t	sexo	edad	NDependents
1	0	0	0	18	1	21	1
2	0	0	0	9	1	36	2
3	0	0	0	12	1	23	1
4	0	0	0	12	1	39	2
5	0	0	0	12	1	38	1
6	0	0	0	10	1	48	2
7	0	0	0	8	1	39	1
8	1	0	0	6	1	40	2
9	0	0	0	18	1	65	1
10	0	0	0	24	1	23	1
11	0	0	0	11	1	36	2
12	0	0	0	30	0	24	1
13	1	0	0	6	1	31	1
15	0	0	0	18	0	23	1
16	0	0	0	6	1	44	2
17	0	0	0	11	1	40	2
18	0	0	0	18	0	25	1
19	0	0	1	36	1	36	1
20	0	0	0	11	1	39	1
21	1	0	0	6	1	37	2
22	0	0	0	12	1	49	2
23	0	0	1	36	1	33	1
24	0	0	0	12	1	26	1
25	0	0	0	6	1	44	2
26	0	1	0	11	1	51	1
27	0	0	0	12	1	24	1
28	0	0	0	9	1	37	1
29	0	0	0	15	1	29	1
31	0	0	0	30	1	47	1
32	0	0	1	36	1	37	1
33	0	0	1	36	1	34	1
34	0	0	0	24	1	28	1
35	0	0	0	15	1	36	1
36	1	0	0	6	1	39	1
37	0	0	0	12	1	38	2
38	0	0	0	12	1	26	1
39	0	0	0	18	1	31	1
40	0	0	0	24	1	41	1
41	0	0	0	12	1	23	1
42	0	0	0	24	1	58	1
43	0	0	0	18	1	36	1
44	0	0	0	24	1	34	2
45	0	0	0	18	1	61	1
46	0	0	0	18	1	23	1
47	0	0	0	24	1	25	1
48	0	0	0	18	1	30	1
49	0	0	0	24	0	33	1
50	0	0	0	24	1	26	1
51	0	0	0	12	1	49	1
52	0	0	1	36	1	23	1
53	0	0	0	9	1	30	1
54	0	0	0	12	1	49	1
55	0	0	0	24	1	41	2
56	0	0	0	12	1	58	1
57	0	0	0	12	1	63	1
58	0	0	0	15	0	27	1
59	0	0	0	21	1	41	1
60	0	0	1	36	1	36	1
61	0	0	0	12	1	44	1
62	0	0	0	24	1	29	1
64	0	0	1	36	1	45	2
65	0	1	0	12	1	43	2
66	1	0	0	6	1	27	1
67	0	0	0	12	1	52	1
68	0	0	0	24	1	28	1
69	0	0	0	12	1	22	1
70	0	1	0	24	1	60	1
71	0	0	0	21	1	32	1
72	0	0	0	30	1	58	1
73	0	0	1	36	1	39	1
74	0	0	0	24	1	31	1
75	0	0	0	12	1	37	1
76	0	0	0	9	1	24	1
77	0	0	0	21	1	36	1
78	0	0	0	24	1	60	1
79	0	0	0	21	0	30	1
80	0	0	0	15	1	35	1
81	0	0	0	24	1	37	1
82	0	0	1	36	1	51	1
83	0	0	0	18	1	30	1
84	0	0	0	15	1	36	1
85	0	0	0	15	1	63	1
86	0	0	0	12	1	31	2
87	0	0	0	24	1	35	1
88	0	0	1	36	1	34	1
89	1	0	0	6	1	39	1
90	0	1	0	24	1	42	1
91	0	0	0	12	1	27	1
92	0	0	0	30	1	25	1
93	1	0	0	20	1	28	1
94	0	0	0	9	1	59	1
95	0	0	0	18	1	41	1
96	0	0	0	27	1	32	2
97	0	0	0	12	1	23	1
98	0	0	1	36	1	30	1
99	0	0	0	9	1	25	1
101	0	0	0	24	1	40	1
102	0	0	0	15	1	22	1
103	0	1	0	24	1	34	1
104	0	0	1	36	1	54	1
105	0	0	0	24	0	33	1
106	0	0	0	24	1	31	1
107	0	0	0	12	1	29	1
108	0	0	0	18	0	39	1
109	0	0	0	24	1	38	1
110	0	0	0	12	1	61	1
111	0	0	0	15	1	29	1
112	0	0	0	6	1	49	1
113	0	0	0	12	1	36	1
114	0	0	0	12	1	26	1
115	0	0	0	21	1	35	1
116	0	0	0	18	1	28	1
117	0	0	0	9	1	35	1
118	0	0	0	24	1	28	1
119	0	0	0	9	1	52	1
120	0	0	0	24	1	32	1
121	0	0	1	36	1	30	1
122	0	0	1	36	1	35	2
123	1	0	0	6	0	30	1
124	0	0	0	15	1	43	1
125	0	0	0	15	1	47	1
126	0	0	0	24	0	47	1
127	0	0	0	15	1	24	1
128	0	0	0	6	1	32	1
129	0	0	0	18	0	30	1
130	0	0	0	24	1	36	2
131	0	0	0	24	1	26	1
132	0	0	0	18	1	43	1
133	0	0	0	6	1	41	1
134	0	0	0	18	1	26	1
135	0	0	0	10	1	64	1
136	0	0	0	6	1	33	1
137	0	0	0	12	1	54	1
138	1	0	0	20	1	32	1
139	0	0	0	6	1	39	1
140	0	0	0	24	1	31	1
141	0	0	1	36	1	45	1
142	0	0	0	9	1	64	1
143	0	0	0	24	1	42	1
144	0	0	0	9	1	31	1
145	0	0	1	36	1	25	1
146	0	0	0	21	1	46	1
147	0	0	0	24	1	49	2
148	0	0	0	12	1	49	1
149	0	0	0	12	1	36	1
150	0	0	0	24	1	48	1
151	1	0	0	12	1	42	1
152	0	0	0	12	1	29	1
154	0	0	0	24	1	38	1
155	0	0	0	12	1	26	1
156	0	0	0	24	1	35	1
157	0	0	0	12	1	23	1
158	0	0	0	30	1	38	1
160	0	0	0	12	1	28	1
161	0	0	0	12	1	35	1
162	0	0	0	24	1	36	1
163	0	0	0	24	1	25	1
164	0	0	0	15	1	28	1
165	0	0	0	15	1	23	1
166	0	0	0	9	1	48	1
167	0	0	0	30	1	25	1
168	0	0	0	24	1	74	1
169	0	0	0	15	1	24	1
170	0	0	0	6	1	28	1
171	0	0	1	36	1	24	1
172	0	0	0	12	1	24	1
173	0	0	0	12	0	23	1
174	0	0	0	24	1	32	2
175	0	0	0	12	1	31	2
176	0	0	0	24	1	36	1
177	0	0	0	24	1	27	1
178	0	0	0	12	1	44	1
179	0	0	0	18	1	34	1
181	0	0	0	9	1	23	1
182	0	0	0	18	1	30	1
183	1	0	0	6	1	25	1
184	0	0	0	30	1	33	1
185	0	0	0	9	1	27	1
186	0	0	1	36	1	31	1
187	0	0	0	12	1	50	1
188	0	0	0	24	1	31	2
189	0	0	1	36	1	32	2
190	0	0	0	21	1	28	1
191	0	0	0	24	1	29	1
192	0	0	1	36	0	27	1
194	0	0	0	24	1	54	1
195	0	0	0	12	1	25	1
196	0	0	1	33	1	35	1
197	0	0	0	6	1	45	2
198	0	0	0	18	1	28	1
199	0	0	0	12	1	35	1
201	0	0	0	30	1	30	1
202	0	1	0	28	1	40	2
