ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
1	1	1	BOGOTA	SinInf	C	6038065	8875860	1
2	2	1	ANTIOQUIA	SinInf	C	6404983	7902028	0
3	1	0	ATLANTICO	SERVICIOS	A	626170518	878429176	1
4	1	0	BOGOTA	SinInf	A	1601645482	738560664	1
5	1	0	ANTIOQUIA	CONSTRUCCION	A	53254660	51786805	0
6	0	0	BOGOTA	CONSTRUCCION	A	84913	3859051	0
7	0	0	BOGOTA	SinInf	C	11551730	1551730	0
8	0	1	ANTIOQUIA	SinInf	C	434462120	307131720	0
9	1	1	VALLE	SinInf	C	2545328	7496647	1
10	4	0	VALLE	SinInf	C	7393538	424759	2
11	6	0	ATLANTICO	SinInf	B	10999974	9977150	0
12	3	0	CUNDINAMARCA	COMERCIO	C	5312921	2657386	0
13	4	0	BOGOTA	SinInf	C	1865309	240742	2
14	8	0	BOGOTA	SinInf	C	23521903	13171381	1
15	3	0	ANTIOQUIA	SinInf	C	2756070	1686185	0
16	2	0	BOLIVAR	SinInf	C	1283964	3133179	1
17	11	0	BOGOTA	SinInf	C	1654970	876490	1
18	4	0	ANTIOQUIA	SinInf	C	724833	378706	0
19	10	0	MAGDALENA	COMERCIO	C	930122	147015	0
20	1	0	ANTIOQUIA	SinInf	C	1423531	6453575	0
21	0	0	N_SANTANDER	COMERCIO	C	579104	344487	0
22	0	0	BOGOTA	SinInf	C	180285	122224701	1
23	0	0	CUNDINAMARCA	COMERCIO	B	4646771	106866	1
24	1	0	META	COMERCIO	C	252881	123239	1
25	1	0	CUNDINAMARCA	SERVICIOS	C	2283729	1004258	0
26	7	0	CASANARE	TRANSPORTE	C	883314	177155	0
27	1	0	BOGOTA	CONSTRUCCION	C	11492359	5748679	45
28	4	0	ATLANTICO	SinInf	C	1570980	1035669	0
29	3	0	BOGOTA	COMERCIO	C	682561	124948	1
30	6	0	ANTIOQUIA	SinInf	C	490249	122426	0
31	1	1	ANTIOQUIA	COMERCIO	C	6930768	3901000	1
32	13	0	ANTIOQUIA	COMERCIO	C	3819598	3370888	61
33	5	0	ATLANTICO	TRANSPORTE	C	1321565	668550	2
34	3	0	ANTIOQUIA	SinInf	C	1154156	325762	0
35	3	0	ANTIOQUIA	COMERCIO	C	5610162	3812561	1
36	4	0	ANTIOQUIA	COMERCIO	C	1233467	611082	0
37	3	0	SANTANDER	CONSTRUCCION	C	273780	210305	1
38	13	0	MAGDALENA	TRANSPORTE	C	574063	477898	0
39	1	0	BOYACA	TRANSPORTE	C	1218284	418982	1
40	9	0	MAGDALENA	MANUFACTURA	C	591001	238781	0
41	4	1	BOGOTA	SinInf	C	326305	5319238	0
42	3	0	BOGOTA	AGROPECUARIO	B	15549570	12215557	0
43	2	1	SANTANDER	TRANSPORTE	C	4307435	4127762	1
44	0	0	ANTIOQUIA	TRANSPORTE	C	2197570	1292556	0
45	13	0	VALLE	SERVICIOS	C	760939	591897	0
